ser	coun	year	gini_mi	gini_dhi	pov_mi	pov_dhi
1	au	81	0.404	0.281	21.1	11.3
2	au	85	0.436	0.291	24	11.8
3	au	89	0.436	0.302	23.4	12.2
4	au	95	0.477	0.308	28.5	11.4
5	au	1	0.493	0.317	30.3	13
6	au	3	0.48	0.311	29.4	12.2
1	ca	71	0.404	0.317	22.5	16.1
2	ca	75	0.386	0.289	21.8	13.9
3	ca	81	0.382	0.284	21.3	12.4
4	ca	87	0.407	0.283	23.5	11.4
5	ca	91	0.426	0.281	25.9	11
6	ca	94	0.449	0.284	28.7	11.3
7	ca	97	0.451	0.291	28.6	11.9
8	ca	98	0.476	0.31	31.2	12.9
9	ca	0	0.466	0.313	28.5	12.4
10	ca	4	0.477	0.318	30.8	13
11	ca	7	0.472	0.312	30	11.9
1	cz	92	0.401	0.205	26.1	2.4
2	cz	96	0.431	0.255	24.6	5.1
3	cz	4	0.472	0.265	29.4	5.8
1	dk	87	0.415	0.254	26.6	10.1
2	dk	92	0.447	0.237	30.1	7.2
3	dk	95	0.447	0.217	29.4	5.2
4	dk	0	0.439	0.224	28	5.4
5	dk	4	0.45	0.228	29.4	5.6
1	fi	87	0.389	0.207	22.9	5.1
2	fi	91	0.408	0.209	25.7	5.5
3	fi	95	0.481	0.216	33	4.1
4	fi	0	0.471	0.249	30.6	5.5
5	fi	4	0.475	0.256	31	6.6
1	de	73	0.382	0.271	20.2	6.8
2	de	78	0.421	0.262	25.2	6
3	de	81	0.408	0.244	21.7	5.3
4	de	83	0.432	0.26	27.4	5.8
5	de	84	0.443	0.264	25.5	7.7
6	de	89	0.439	0.258	24.9	5.6
7	de	94	0.462	0.269	28.2	7.7
8	de	0	0.477	0.265	29.5	7.6
9	de	4	0.502	0.278	33.3	8.5
10	de	7	0.512	0.289	34.2	8.4
1	il	79	0.432	0.302	19.8	11
2	il	86	0.482	0.308	27	11.7
3	il	92	0.478	0.305	27.8	10.2
4	il	97	0.501	0.335	29.4	13.5
5	il	1	0.54	0.346	34.1	15.6
6	il	5	0.529	0.369	34.2	19.4
7	il	7	0.523	0.369	33.1	18.9
1	nl	83	0.487	0.252	30.1	6.3
2	nl	87	0.479	0.236	29	3.9
3	nl	90	0.455	0.265	29	6.3
4	nl	93	0.464	0.257	29.8	8.1
5	nl	99	0.431	0.231	26.5	4.9
6	nl	4	0.463	0.264	27.9	6.3
1	no	79	0.378	0.224	21.2	5
2	no	86	0.365	0.234	20.4	7.2
3	no	91	0.395	0.231	23.4	6.4
4	no	95	0.426	0.227	28.1	6.1
5	no	0	0.428	0.246	26	6.4
6	no	4	0.454	0.252	28.9	7.1
1	ro	95	0.376	0.278	22.9	8.7
2	ro	97	0.374	0.279	23	8.5
1	se	67	0.389	0.26	18.4	10.6
2	se	75	0.405	0.215	24.2	6.5
3	se	81	0.412	0.197	27.8	5.3
4	se	87	0.434	0.211	29.9	6.7
5	se	92	0.468	0.229	34.6	6.7
6	se	95	0.498	0.221	37.3	6.6
7	se	0	0.473	0.25	31.3	6.6
8	se	5	0.47	0.236	31.8	5.6
1	ch	82	0.398	0.306	18.9	7.6
2	ch	92	0.411	0.307	22.4	9.3
3	ch	0	0.398	0.28	20.7	7.5
4	ch	2	0.401	0.272	20.6	7.4
5	ch	4	0.406	0.267	23.4	8
1	tw	81	0.281	0.267	7.9	5.4
2	tw	86	0.289	0.268	8.8	5.2
3	tw	91	0.295	0.271	10.3	6.5
4	tw	95	0.313	0.284	13.5	7.7
5	tw	97	0.318	0.287	12.6	8.2
6	tw	0	0.329	0.289	14.3	8.4
7	tw	5	0.354	0.305	17.3	9.5
1	uk	69	0.365	0.267	15.9	5.5
2	uk	74	0.379	0.268	19.3	9.1
3	uk	79	0.418	0.267	24.6	8.9
4	uk	86	0.508	0.303	34.4	9.1
5	uk	91	0.505	0.335	32.2	14.6
6	uk	94	0.54	0.338	36.3	10.8
7	uk	95	0.543	0.343	37.6	13.5
8	uk	99	0.536	0.345	36.1	13.2
9	uk	4	0.533	0.342	35.1	11.2
10	uk	7	0.541	0.355	36.1	16.3
11	uk	10	0.558	0.354	38.5	15.4
1	us	74	0.415	0.316	22.8	15.5
2	us	79	0.42	0.299	23.6	15.2
3	us	86	0.452	0.331	25.8	17.2
4	us	91	0.463	0.335	27.9	17.7
5	us	94	0.487	0.353	28.9	17.6
6	us	97	0.491	0.371	27.5	16.9
7	us	0	0.487	0.367	26.4	16.9
8	us	4	0.495	0.371	28.6	17.2
9	us	7	0.49	0.377	27.9	17.7
10	us	10	0.511	0.372	32.1	17.9
